t;u;w;q [graus/s];theta [graus]
16.2;44.2593;2.69336;-1.71017;10.5979
16.3;44.1672;2.69743;-1.7261;10.4261
16.4;44.0783;2.70137;-1.74151;10.2527
16.5;43.9926;2.70516;-1.7564;10.0778
16.6;43.9102;2.70882;-1.77077;9.90149
16.7;43.8311;2.71234;-1.78462;9.72373
16.8;43.7552;2.71571;-1.79793;9.5446
16.9;43.6826;2.71895;-1.81072;9.36417
17;43.6133;2.72204;-1.82298;9.18249
17.1;43.5473;2.72499;-1.8347;8.9996
17.2;43.4847;2.7278;-1.84588;8.81558
17.3;43.4253;2.73047;-1.85653;8.63046
17.4;43.3694;2.73299;-1.86663;8.4443
17.5;43.3167;2.73537;-1.87619;8.25716
17.6;43.2675;2.73761;-1.88522;8.06909
17.7;43.2216;2.7397;-1.89369;7.88014
17.8;43.179;2.74164;-1.90162;7.69038
17.9;43.1399;2.74344;-1.90901;7.49984
18;43.1041;2.7451;-1.91585;7.3086
18.1;43.0716;2.74661;-1.92214;7.1167
18.2;43.0426;2.74798;-1.92788;6.9242
18.3;43.0169;2.7492;-1.93308;6.73115
18.4;42.9946;2.75027;-1.93772;6.5376
18.5;42.9757;2.7512;-1.94182;6.34362
18.6;42.9602;2.75199;-1.94537;6.14926
18.7;42.948;2.75263;-1.94837;5.95457
18.8;42.9392;2.75312;-1.95083;5.75961
18.9;42.9338;2.75347;-1.95273;5.56443
19;42.9317;2.75368;-1.95409;5.36908
19.1;42.9329;2.75374;-1.95491;5.17363
19.2;42.9375;2.75366;-1.95518;4.97812
19.3;42.9454;2.75343;-1.95491;4.78261
19.4;42.9567;2.75306;-1.95409;4.58716
19.5;42.9712;2.75255;-1.95274;4.39181
19.6;42.9891;2.7519;-1.95085;4.19662
19.7;43.0102;2.75111;-1.94842;4.00165
19.8;43.0346;2.75017;-1.94546;3.80695
19.9;43.0622;2.74909;-1.94196;3.61258
20;43.0931;2.74788;-1.93793;3.41858
20.1;43.1272;2.74652;-1.93338;3.22501
20.2;43.1645;2.74503;-1.92829;3.03191
20.3;43.205;2.7434;-1.92269;2.83936
20.4;43.2487;2.74163;-1.91657;2.64739
20.5;43.2955;2.73972;-1.90992;2.45606
20.6;43.3455;2.73768;-1.90277;2.26541
20.7;43.3985;2.73551;-1.8951;2.07551
20.8;43.4547;2.7332;-1.88693;1.8864
20.9;43.5139;2.73076;-1.87825;1.69813
21;43.5761;2.72819;-1.86907;1.51076
21.1;43.6414;2.72549;-1.85939;1.32433
21.2;43.7096;2.72266;-1.84922;1.13889
21.3;43.7808;2.7197;-1.83856;0.95449
21.4;43.855;2.71661;-1.82742;0.771181
21.5;43.9321;2.7134;-1.81579;0.589011
21.6;44.012;2.71006;-1.80369;0.408027
21.7;44.0948;2.70659;-1.79112;0.228276
21.8;44.1804;2.70301;-1.77808;0.0498061
21.9;44.2689;2.6993;-1.76457;-0.127337
22;44.36;2.69548;-1.75061;-0.303107
22.1;44.454;2.69153;-1.7362;-0.477458
22.2;44.5506;2.68747;-1.72133;-0.650346
22.3;44.6498;2.6833;-1.70603;-0.821726
22.4;44.7517;2.679;-1.69029;-0.991553
22.5;44.8562;2.6746;-1.67411;-1.15978
22.6;44.9633;2.67008;-1.65751;-1.32638
22.7;45.0729;2.66546;-1.64049;-1.49129
22.8;45.185;2.66073;-1.62305;-1.65448
22.9;45.2995;2.65589;-1.60521;-1.8159
23;45.4164;2.65094;-1.58696;-1.97553
23.1;45.5358;2.64589;-1.56831;-2.1333
23.2;45.6574;2.64074;-1.54927;-2.28919
23.3;45.7814;2.63549;-1.52985;-2.44316
23.4;45.9076;2.63014;-1.51005;-2.59517
23.5;46.036;2.62469;-1.48987;-2.74518
23.6;46.1666;2.61915;-1.46933;-2.89315
23.7;46.2994;2.61351;-1.44843;-3.03905
23.8;46.4342;2.60779;-1.42717;-3.18285
23.9;46.5711;2.60197;-1.40558;-3.3245
24;46.71;2.59607;-1.38364;-3.46397
24.1;46.8509;2.59008;-1.36137;-3.60124
24.2;46.9937;2.584;-1.33877;-3.73626
24.3;47.1384;2.57785;-1.31585;-3.869
24.4;47.2849;2.57161;-1.29263;-3.99944
24.5;47.4332;2.56529;-1.2691;-4.12754
24.6;47.5832;2.5589;-1.24527;-4.25327
24.7;47.735;2.55243;-1.22115;-4.37661
24.8;47.8884;2.5459;-1.19675;-4.49752
24.9;48.0434;2.53929;-1.17208;-4.61598
25;48.1999;2.53261;-1.14714;-4.73195
25.1;48.358;2.52586;-1.12194;-4.84542
25.2;48.5175;2.51905;-1.09648;-4.95636
25.3;48.6785;2.51218;-1.07079;-5.06473
25.4;48.8408;2.50525;-1.04485;-5.17053
25.5;49.0044;2.49825;-1.01869;-5.27372
25.6;49.1693;2.49121;-0.992303;-5.37429
25.7;49.3355;2.4841;-0.965705;-5.4722
25.8;49.5028;2.47695;-0.938902;-5.56745
25.9;49.6712;2.46974;-0.9119;-5.66
26;49.8407;2.46249;-0.884709;-5.74985
26.1;50.0113;2.45519;-0.857336;-5.83697
26.2;50.1828;2.44785;-0.82979;-5.92134
26.3;50.3552;2.44047;-0.802078;-6.00295
26.4;50.5285;2.43305;-0.774209;-6.08178
26.5;50.7027;2.42559;-0.74619;-6.15781
26.6;50.8776;2.41809;-0.71803;-6.23104
26.7;51.0532;2.41056;-0.689736;-6.30144
26.8;51.2295;2.403;-0.661318;-6.36901
26.9;51.4065;2.39541;-0.632783;-6.43373
27;51.584;2.3878;-0.604139;-6.49559
27.1;51.762;2.38016;-0.575395;-6.55458
27.2;51.9406;2.3725;-0.546558;-6.61069
27.3;52.1195;2.36482;-0.517638;-6.66392
27.4;52.2988;2.35712;-0.488641;-6.71425
27.5;52.4784;2.34941;-0.459577;-6.76167
27.6;52.6583;2.34168;-0.430454;-6.80619
27.7;52.8384;2.33394;-0.40128;-6.84779
27.8;53.0187;2.3262;-0.372063;-6.88648
27.9;53.1991;2.31844;-0.342811;-6.92223
28;53.3796;2.31068;-0.313532;-6.95507
28.1;53.5601;2.30292;-0.284236;-6.98497
28.2;53.7406;2.29516;-0.254929;-7.01194
28.3;53.921;2.2874;-0.22562;-7.03598
28.4;54.1012;2.27964;-0.196317;-7.0571
28.5;54.2813;2.27189;-0.167029;-7.07528
28.6;54.4611;2.26415;-0.137762;-7.09053
28.7;54.6407;2.25642;-0.108527;-7.10286
28.8;54.8199;2.2487;-0.0793294;-7.11227
28.9;54.9988;2.241;-0.0501786;-7.11876
29;55.1772;2.23331;-0.0210822;-7.12233
29.1;55.3552;2.22564;0.00795181;-7.123
29.2;55.5326;2.21799;0.0369155;-7.12077
29.3;55.7094;2.21036;0.0658011;-7.11565
29.4;55.8857;2.20276;0.0946007;-7.10765
29.5;56.0612;2.19519;0.123306;-7.09676
29.6;56.2361;2.18765;0.151911;-7.08302
29.7;56.4102;2.18013;0.180406;-7.06641
29.8;56.5835;2.17265;0.208784;-7.04697
29.9;56.7559;2.16521;0.237038;-7.02469
30;56.9275;2.1578;0.265159;-6.99959
30.1;57.0981;2.15043;0.293142;-6.97169
30.2;57.2677;2.1431;0.320977;-6.941
30.3;57.4362;2.13582;0.348658;-6.90753
30.4;57.6037;2.12858;0.376177;-6.8713
30.5;57.7701;2.12138;0.403527;-6.83233
30.6;57.9353;2.11424;0.430702;-6.79063
30.7;58.0993;2.10715;0.457693;-6.74622
30.8;58.262;2.1001;0.484494;-6.69912
30.9;58.4235;2.09312;0.511097;-6.64935
31;58.5836;2.08618;0.537497;-6.59693
31.1;58.7423;2.07931;0.563685;-6.54189
31.2;58.8996;2.0725;0.589656;-6.48423
31.3;59.0555;2.06574;0.615402;-6.42399
31.4;59.2098;2.05905;0.640917;-6.36118
31.5;59.3626;2.05243;0.666194;-6.29584
31.6;59.5139;2.04587;0.691228;-6.22798
31.7;59.6635;2.03938;0.71601;-6.15763
31.8;59.8115;2.03296;0.740536;-6.08481
31.9;59.9578;2.02661;0.7648;-6.00955
32;60.1023;2.02033;0.788794;-5.93188
32.1;60.2451;2.01413;0.812513;-5.85183
32.2;60.3861;2.008;0.83595;-5.76941
32.3;60.5253;2.00196;0.859101;-5.68467
32.4;60.6626;1.99599;0.88196;-5.59763
32.5;60.798;1.9901;0.90452;-5.50831
32.6;60.9315;1.98429;0.926776;-5.41675
32.7;61.063;1.97857;0.948723;-5.32299
32.8;61.1925;1.97293;0.970356;-5.22704
32.9;61.3199;1.96738;0.991668;-5.12895
33;61.4454;1.96191;1.01266;-5.02874
33.1;61.5687;1.95654;1.03331;-4.92645
33.2;61.6899;1.95125;1.05363;-4.82211
33.3;61.8089;1.94606;1.07362;-4.71575
